data_ora_proiezione;titolo_film;genere;regista;anno;durata_minuti;eta_minima;prezzo_biglietto
03/12/2027 13:30;Jûbê ninpûchô;Animation;Yoshiaki Kawajiri;1993;94;12;7.50
03/12/2027 10:30;Cool Hand Luke;Crime;Stuart Rosenberg;1967;127;12;8.50
02/12/2027 10:30;Giant;Drama;George Stevens;1956;201;0;7.50
01/12/2027 14:00;Blue Velvet;Drama;David Lynch;1986;120;12;8.00
01/12/2027 10:00;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;8.00
30/11/2027 13:30;Kurenai no buta;Animation;Hayao Miyazaki;1992;94;0;6.50
30/11/2027 10:30;Cool Hand Luke;Crime;Stuart Rosenberg;1967;127;12;7.50
29/11/2027 13:30;The Others;Horror;Alejandro Amenábar;2001;101;12;7.00
29/11/2027 10:00;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;7.50
28/11/2027 16:00;Mississippi Burning;Crime;Alan Parker;1988;128;12;8.00
28/11/2027 13:00;The Blues Brothers;Action;John Landis;1980;133;0;8.00
28/11/2027 10:30;Festen;Drama;Thomas Vinterberg;1998;105;16;8.00
27/11/2027 20:00;Cool Hand Luke;Crime;Stuart Rosenberg;1967;127;12;10.00
27/11/2027 17:00;The Blues Brothers;Action;John Landis;1980;133;0;7.50
27/11/2027 13:30;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;6.50
27/11/2027 10:30;The Blues Brothers;Action;John Landis;1980;133;0;8.00
26/11/2027 13:30;It Happened One Night;Comedy;Frank Capra;1934;105;12;8.00
26/11/2027 10:30;Sin City;Crime;Frank Miller;2005;124;12;6.50
25/11/2027 16:00;The Silence of the Lambs;Crime;Jonathan Demme;1991;118;12;6.50
25/11/2027 12:30;Tengoku to jigoku;Crime;Akira Kurosawa;1963;143;12;8.00
25/11/2027 10:00;It Happened One Night;Comedy;Frank Capra;1934;105;12;7.00
24/11/2027 16:00;The Ladykillers;Comedy;Alexander Mackendrick;1955;91;12;6.50
24/11/2027 13:30;Cape Fear;Drama;J. Lee Thompson;1962;106;12;7.50
24/11/2027 10:30;Aliens;Action;James Cameron;1986;137;0;8.00
23/11/2027 12:30;The Others;Horror;Alejandro Amenábar;2001;101;12;6.50
23/11/2027 10:00;"Monsters; Inc.";Animation;Pete Docter;2001;92;0;6.50
22/11/2027 10:30;Jûbê ninpûchô;Animation;Yoshiaki Kawajiri;1993;94;12;7.50
21/11/2027 16:00;The Hurricane;Biography;Norman Jewison;1999;146;16;8.00
21/11/2027 13:00;Platoon;Drama;Oliver Stone;1986;120;12;8.50
21/11/2027 10:00;Cool Hand Luke;Crime;Stuart Rosenberg;1967;127;12;7.00
20/11/2027 20:30;Aliens;Action;James Cameron;1986;137;0;9.00
20/11/2027 18:00;Jules et Jim;Drama;François Truffaut;1962;105;12;10.00
20/11/2027 14:30;Close Encounters of the Third Kind;Drama;Steven Spielberg;1977;138;0;8.50
20/11/2027 10:30;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;7.00
19/11/2027 10:00;The Hurricane;Biography;Norman Jewison;1999;146;16;8.50
18/11/2027 10:00;Scent of a Woman;Drama;Martin Brest;1992;156;12;7.00
17/11/2027 10:30;Giant;Drama;George Stevens;1956;201;0;7.50
16/11/2027 16:00;The Hurricane;Biography;Norman Jewison;1999;146;16;7.00
16/11/2027 13:00;Butch Cassidy and the Sundance Kid;Biography;George Roy Hill;1969;110;6;7.50
16/11/2027 10:30;The Others;Horror;Alejandro Amenábar;2001;101;12;8.00
15/11/2027 17:00;"Monsters; Inc.";Animation;Pete Docter;2001;92;0;8.00
15/11/2027 14:00;The Long Goodbye;Comedy;Robert Altman;1973;112;12;7.00
15/11/2027 10:30;Fight Club;Drama;David Fincher;1999;139;12;8.00
14/11/2027 15:30;Platoon;Drama;Oliver Stone;1986;120;12;7.00
14/11/2027 12:30;Tengoku to jigoku;Crime;Akira Kurosawa;1963;143;12;7.50
14/11/2027 10:00;Back to the Future Part II;Adventure;Robert Zemeckis;1989;108;0;6.50
13/11/2027 18:30;Papurika;Animation;Satoshi Kon;2006;90;0;9.50
13/11/2027 16:00;Back to the Future Part II;Adventure;Robert Zemeckis;1989;108;0;7.50
13/11/2027 13:00;Platoon;Drama;Oliver Stone;1986;120;12;7.00
13/11/2027 10:30;Platoon;Drama;Oliver Stone;1986;120;12;7.50
12/11/2027 13:30;Blow;Biography;Ted Demme;2001;124;16;8.00
12/11/2027 10:00;Scent of a Woman;Drama;Martin Brest;1992;156;12;7.00
11/11/2027 13:00;Papurika;Animation;Satoshi Kon;2006;90;0;8.00
11/11/2027 10:30;Papurika;Animation;Satoshi Kon;2006;90;0;6.50
10/11/2027 10:30;Close Encounters of the Third Kind;Drama;Steven Spielberg;1977;138;0;8.00
09/11/2027 13:00;The Long Goodbye;Comedy;Robert Altman;1973;112;12;7.00
09/11/2027 10:00;Sin City;Crime;Frank Miller;2005;124;12;7.00
08/11/2027 13:00;Chinatown;Drama;Roman Polanski;1974;130;12;7.00
08/11/2027 10:30;Papurika;Animation;Satoshi Kon;2006;90;0;8.50
07/11/2027 15:00;Sherlock Jr.;Action;Buster Keaton;1924;45;12;6.50
07/11/2027 12:30;Annie Hall;Comedy;Woody Allen;1977;93;12;8.00
07/11/2027 10:00;Butch Cassidy and the Sundance Kid;Biography;George Roy Hill;1969;110;6;7.50
06/11/2027 19:30;Giant;Drama;George Stevens;1956;201;0;9.00
06/11/2027 16:00;Idi i smotri;Drama;Elem Klimov;1985;142;12;8.00
06/11/2027 13:00;Sin City;Crime;Frank Miller;2005;124;12;6.50
06/11/2027 10:00;Blow;Biography;Ted Demme;2001;124;16;7.50
05/11/2027 10:30;Back to the Future Part II;Adventure;Robert Zemeckis;1989;108;0;8.00
04/11/2027 10:30;Aliens;Action;James Cameron;1986;137;0;8.00
03/11/2027 10:30;Scent of a Woman;Drama;Martin Brest;1992;156;12;7.00
02/11/2027 13:30;Papurika;Animation;Satoshi Kon;2006;90;0;6.50
02/11/2027 10:30;Enemy at the Gates;Drama;Jean-Jacques Annaud;2001;131;12;7.00
01/11/2027 13:00;The Ladykillers;Comedy;Alexander Mackendrick;1955;91;12;8.00
01/11/2027 10:30;"4 luni; 3 saptamâni si 2 zile";Drama;Cristian Mungiu;2007;113;12;8.50
31/10/2027 17:00;Sherlock Jr.;Action;Buster Keaton;1924;45;12;6.50
31/10/2027 14:00;Back to the Future Part II;Adventure;Robert Zemeckis;1989;108;0;6.50
31/10/2027 10:30;Scent of a Woman;Drama;Martin Brest;1992;156;12;6.50
30/10/2027 17:00;"Monsters; Inc.";Animation;Pete Docter;2001;92;0;8.00
30/10/2027 14:00;Blow;Biography;Ted Demme;2001;124;16;8.50
30/10/2027 10:30;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;7.50
29/10/2027 10:30;Annie Hall;Comedy;Woody Allen;1977;93;12;7.50
28/10/2027 15:00;Tengoku to jigoku;Crime;Akira Kurosawa;1963;143;12;7.50
28/10/2027 12:30;Ivanovo detstvo;Drama;Andrei Tarkovsky;1962;95;12;7.50
28/10/2027 10:00;The Ladykillers;Comedy;Alexander Mackendrick;1955;91;12;8.00
27/10/2027 10:30;Donnie Brasco;Biography;Mike Newell;1997;127;12;6.50
26/10/2027 10:00;Zelig;Comedy;Woody Allen;1983;79;6;8.50
25/10/2027 10:30;No Country for Old Men;Crime;Ethan Coen;2007;122;16;6.50
24/10/2027 19:30;Annie Hall;Comedy;Woody Allen;1977;93;12;9.50
24/10/2027 16:00;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;8.00
24/10/2027 13:00;Butch Cassidy and the Sundance Kid;Biography;George Roy Hill;1969;110;6;7.00
24/10/2027 10:30;Butch Cassidy and the Sundance Kid;Biography;George Roy Hill;1969;110;6;8.50
23/10/2027 19:00;Adaptation.;Comedy;Spike Jonze;2002;115;16;8.50
23/10/2027 16:00;Blow;Biography;Ted Demme;2001;124;16;7.00
23/10/2027 13:00;No Country for Old Men;Crime;Ethan Coen;2007;122;16;6.50
23/10/2027 10:00;Platoon;Drama;Oliver Stone;1986;120;12;7.50
22/10/2027 10:00;Zelig;Comedy;Woody Allen;1983;79;6;7.50
21/10/2027 10:00;Adaptation.;Comedy;Spike Jonze;2002;115;16;7.50
20/10/2027 13:30;Chinatown;Drama;Roman Polanski;1974;130;12;8.00
20/10/2027 10:00;Aliens;Action;James Cameron;1986;137;0;6.50
19/10/2027 13:30;"Monsters; Inc.";Animation;Pete Docter;2001;92;0;7.00
19/10/2027 10:30;Aliens;Action;James Cameron;1986;137;0;8.50
18/10/2027 10:30;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;8.50
17/10/2027 16:00;Close Encounters of the Third Kind;Drama;Steven Spielberg;1977;138;0;8.00
17/10/2027 13:00;Back to the Future Part II;Adventure;Robert Zemeckis;1989;108;0;6.50
17/10/2027 10:30;Sunrise: A Song of Two Humans;Drama;F.W. Murnau;1927;94;12;7.50
16/10/2027 16:30;Platoon;Drama;Oliver Stone;1986;120;12;7.00
16/10/2027 13:30;Idi i smotri;Drama;Elem Klimov;1985;142;12;6.50
16/10/2027 10:30;Adaptation.;Comedy;Spike Jonze;2002;115;16;6.50
15/10/2027 13:00;Chinatown;Drama;Roman Polanski;1974;130;12;8.00
15/10/2027 10:00;Close Encounters of the Third Kind;Drama;Steven Spielberg;1977;138;0;6.50
14/10/2027 10:30;Sherlock Jr.;Action;Buster Keaton;1924;45;12;6.50
13/10/2027 13:00;Sunrise: A Song of Two Humans;Drama;F.W. Murnau;1927;94;12;7.50
13/10/2027 10:00;Close Encounters of the Third Kind;Drama;Steven Spielberg;1977;138;0;6.50
12/10/2027 13:30;Sunrise: A Song of Two Humans;Drama;F.W. Murnau;1927;94;12;8.00
12/10/2027 10:30;The Pianist;Biography;Roman Polanski;2002;150;16;7.00
11/10/2027 13:00;The Shop Around the Corner;Comedy;Ernst Lubitsch;1940;99;12;7.50
11/10/2027 10:00;The Lives of Others;Drama;Florian Henckel von Donnersmarck;2006;137;12;7.50
10/10/2027 17:30;Bound by Honor;Crime;Taylor Hackford;1993;180;16;7.50
10/10/2027 15:00;Falling Down;Action;Joel Schumacher;1993;113;16;7.00
10/10/2027 13:30;Sherlock Jr.;Action;Buster Keaton;1924;45;12;8.50
10/10/2027 10:30;Hauru no ugoku shiro;Animation;Hayao Miyazaki;2004;119;0;8.00
09/10/2027 16:00;Platoon;Drama;Oliver Stone;1986;120;12;6.50
09/10/2027 13:30;A Christmas Story;Comedy;Bob Clark;1983;93;0;7.50
09/10/2027 10:00;Amadeus;Biography;Milos Forman;1984;160;16;8.00
08/10/2027 10:00;Back to the Future Part II;Adventure;Robert Zemeckis;1989;108;0;6.50
07/10/2027 10:30;Close Encounters of the Third Kind;Drama;Steven Spielberg;1977;138;0;6.50
06/10/2027 14:00;As Good as It Gets;Comedy;James L. Brooks;1997;139;12;7.00
06/10/2027 10:30;Close Encounters of the Third Kind;Drama;Steven Spielberg;1977;138;0;7.00
05/10/2027 16:30;Black Hawk Down;Drama;Ridley Scott;2001;144;12;7.50
05/10/2027 14:00;Back to the Future Part II;Adventure;Robert Zemeckis;1989;108;0;8.50
05/10/2027 10:30;Black Hawk Down;Drama;Ridley Scott;2001;144;12;8.00
04/10/2027 10:30;Close Encounters of the Third Kind;Drama;Steven Spielberg;1977;138;0;6.50
03/10/2027 17:00;"4 luni; 3 saptamâni si 2 zile";Drama;Cristian Mungiu;2007;113;12;7.00
03/10/2027 14:00;Falling Down;Action;Joel Schumacher;1993;113;16;7.00
03/10/2027 10:30;As Good as It Gets;Comedy;James L. Brooks;1997;139;12;8.00
02/10/2027 19:30;Persona;Drama;Ingmar Bergman;1966;85;12;9.00
02/10/2027 16:30;The Lives of Others;Drama;Florian Henckel von Donnersmarck;2006;137;12;8.50
02/10/2027 13:30;Falling Down;Action;Joel Schumacher;1993;113;16;8.50
02/10/2027 10:30;As Good as It Gets;Comedy;James L. Brooks;1997;139;12;8.00
01/10/2027 10:30;Back to the Future Part II;Adventure;Robert Zemeckis;1989;108;0;8.00
30/09/2027 13:30;Falling Down;Action;Joel Schumacher;1993;113;16;8.00
30/09/2027 10:30;The Lives of Others;Drama;Florian Henckel von Donnersmarck;2006;137;12;7.00
29/09/2027 10:00;The Lives of Others;Drama;Florian Henckel von Donnersmarck;2006;137;12;8.00
28/09/2027 13:00;The King of Comedy;Comedy;Martin Scorsese;1982;109;0;7.00
28/09/2027 10:00;Le notti di Cabiria;Drama;Federico Fellini;1957;110;12;7.00
27/09/2027 10:00;Donnie Brasco;Biography;Mike Newell;1997;127;12;7.00
26/09/2027 19:00;The King of Comedy;Comedy;Martin Scorsese;1982;109;0;9.50
26/09/2027 15:30;Boogie Nights;Drama;Paul Thomas Anderson;1997;155;16;7.00
26/09/2027 12:30;Sleepers;Crime;Barry Levinson;1996;147;12;6.50
26/09/2027 10:00;Le notti di Cabiria;Drama;Federico Fellini;1957;110;12;7.00
25/09/2027 15:30;Enemy at the Gates;Drama;Jean-Jacques Annaud;2001;131;12;7.50
25/09/2027 12:30;Happiness;Comedy;Todd Solondz;1998;134;12;8.50
25/09/2027 10:00;Trois couleurs: Blanc;Comedy;Krzysztof Kieslowski;1994;92;0;7.00
24/09/2027 10:30;Jûbê ninpûchô;Animation;Yoshiaki Kawajiri;1993;94;12;7.00
23/09/2027 14:30;Bronenosets Potemkin;Drama;Sergei M. Eisenstein;1925;75;12;7.50
23/09/2027 12:00;Trois couleurs: Blanc;Comedy;Krzysztof Kieslowski;1994;92;0;7.00
23/09/2027 10:00;Bronenosets Potemkin;Drama;Sergei M. Eisenstein;1925;75;12;7.50
22/09/2027 15:30;Toki o kakeru shôjo;Animation;Mamoru Hosoda;2006;98;0;8.00
22/09/2027 13:00;It Happened One Night;Comedy;Frank Capra;1934;105;12;6.50
22/09/2027 10:30;The Shop Around the Corner;Comedy;Ernst Lubitsch;1940;99;12;6.50
21/09/2027 10:00;The Lives of Others;Drama;Florian Henckel von Donnersmarck;2006;137;12;6.50
20/09/2027 15:00;Bronenosets Potemkin;Drama;Sergei M. Eisenstein;1925;75;12;8.50
20/09/2027 12:30;Sunrise: A Song of Two Humans;Drama;F.W. Murnau;1927;94;12;8.50
20/09/2027 10:00;Jûbê ninpûchô;Animation;Yoshiaki Kawajiri;1993;94;12;7.50
19/09/2027 17:00;Jûbê ninpûchô;Animation;Yoshiaki Kawajiri;1993;94;12;8.50
19/09/2027 14:30;Trois couleurs: Blanc;Comedy;Krzysztof Kieslowski;1994;92;0;8.00
19/09/2027 10:30;Bound by Honor;Crime;Taylor Hackford;1993;180;16;8.50
18/09/2027 18:30;The Shawshank Redemption;Drama;Frank Darabont;1994;142;12;10.00
18/09/2027 14:30;Kal Ho Naa Ho;Comedy;Nikkhil Advani;2003;186;0;8.50
18/09/2027 12:30;Persona;Drama;Ingmar Bergman;1966;85;12;7.50
18/09/2027 10:30;Persona;Drama;Ingmar Bergman;1966;85;12;8.50
17/09/2027 15:00;Persona;Drama;Ingmar Bergman;1966;85;12;6.50
17/09/2027 12:30;The King of Comedy;Comedy;Martin Scorsese;1982;109;0;7.50
17/09/2027 10:30;Bronenosets Potemkin;Drama;Sergei M. Eisenstein;1925;75;12;8.50
16/09/2027 10:00;The King of Comedy;Comedy;Martin Scorsese;1982;109;0;7.00
15/09/2027 16:30;The Shawshank Redemption;Drama;Frank Darabont;1994;142;12;8.00
15/09/2027 13:30;Falling Down;Action;Joel Schumacher;1993;113;16;7.50
15/09/2027 10:00;Amadeus;Biography;Milos Forman;1984;160;16;8.00
14/09/2027 17:00;Harry Potter and the Sorcerer's Stone;Adventure;Chris Columbus;2001;152;0;7.00
14/09/2027 14:00;Falling Down;Action;Joel Schumacher;1993;113;16;8.50
14/09/2027 10:00;Kal Ho Naa Ho;Comedy;Nikkhil Advani;2003;186;0;8.50
13/09/2027 10:00;Jeux d'enfants;Comedy;Yann Samuell;2003;93;16;8.00
12/09/2027 16:00;Memento;Mystery;Christopher Nolan;2000;113;12;7.50
12/09/2027 13:30;The Others;Horror;Alejandro Amenábar;2001;101;12;7.50
12/09/2027 10:30;The Shawshank Redemption;Drama;Frank Darabont;1994;142;12;8.50
11/09/2027 16:30;The Pianist;Biography;Roman Polanski;2002;150;16;7.50
11/09/2027 12:30;Barry Lyndon;Adventure;Stanley Kubrick;1975;185;6;8.00
11/09/2027 10:00;Toki o kakeru shôjo;Animation;Mamoru Hosoda;2006;98;0;8.50
10/09/2027 13:00;Falling Down;Action;Joel Schumacher;1993;113;16;8.50
10/09/2027 10:00;All That Jazz;Drama;Bob Fosse;1979;123;12;6.50
09/09/2027 17:30;Jûbê ninpûchô;Animation;Yoshiaki Kawajiri;1993;94;12;7.50
09/09/2027 13:30;Sholay;Action;Ramesh Sippy;1975;204;0;8.50
09/09/2027 10:30;The Treasure of the Sierra Madre;Adventure;John Huston;1948;126;12;8.00
08/09/2027 17:00;Sleepers;Crime;Barry Levinson;1996;147;12;8.00
08/09/2027 13:00;"Swades: We; the People";Drama;Ashutosh Gowariker;2004;210;0;7.00
08/09/2027 10:30;Toki o kakeru shôjo;Animation;Mamoru Hosoda;2006;98;0;7.00
07/09/2027 15:30;Toki o kakeru shôjo;Animation;Mamoru Hosoda;2006;98;0;6.50
07/09/2027 12:30;Star Wars: Episode VI - Return of the Jedi;Action;Richard Marquand;1983;131;0;8.00
07/09/2027 10:00;Toki o kakeru shôjo;Animation;Mamoru Hosoda;2006;98;0;8.50
06/09/2027 13:00;All That Jazz;Drama;Bob Fosse;1979;123;12;6.50
06/09/2027 10:00;The Shawshank Redemption;Drama;Frank Darabont;1994;142;12;8.50
05/09/2027 21:30;Philadelphia;Drama;Jonathan Demme;1993;125;12;10.00
05/09/2027 18:00;The Killing Fields;Biography;Roland Joffé;1984;141;12;9.50
05/09/2027 14:30;My Fair Lady;Drama;George Cukor;1964;170;0;8.00
05/09/2027 10:30;Saving Private Ryan;Drama;Steven Spielberg;1998;169;16;6.50
04/09/2027 17:00;The Killing Fields;Biography;Roland Joffé;1984;141;12;8.50
04/09/2027 13:30;Fitzcarraldo;Adventure;Werner Herzog;1982;158;16;8.50
04/09/2027 10:30;All That Jazz;Drama;Bob Fosse;1979;123;12;8.00
03/09/2027 16:30;"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo; kimi ni";Animation;Hideaki Anno;1997;87;12;6.50
03/09/2027 13:30;All That Jazz;Drama;Bob Fosse;1979;123;12;6.50
03/09/2027 10:30;The Illusionist;Drama;Neil Burger;2006;110;0;7.00
02/09/2027 10:30;Sholay;Action;Ramesh Sippy;1975;204;0;8.50
01/09/2027 10:30;The Game;Action;David Fincher;1997;129;12;7.50
31/08/2027 13:00;Kurenai no buta;Animation;Hayao Miyazaki;1992;94;0;7.00
31/08/2027 10:30;Jeux d'enfants;Comedy;Yann Samuell;2003;93;16;7.00
30/08/2027 10:30;The Killing Fields;Biography;Roland Joffé;1984;141;12;7.00
29/08/2027 20:30;Kal Ho Naa Ho;Comedy;Nikkhil Advani;2003;186;0;10.00
29/08/2027 17:00;Fitzcarraldo;Adventure;Werner Herzog;1982;158;16;8.50
29/08/2027 14:30;Le notti di Cabiria;Drama;Federico Fellini;1957;110;12;8.00
29/08/2027 10:00;Sholay;Action;Ramesh Sippy;1975;204;0;8.00
28/08/2027 16:00;My Fair Lady;Drama;George Cukor;1964;170;0;8.50
28/08/2027 13:30;The Illusionist;Drama;Neil Burger;2006;110;0;8.50
28/08/2027 10:30;Le notti di Cabiria;Drama;Federico Fellini;1957;110;12;7.50
27/08/2027 10:30;The Treasure of the Sierra Madre;Adventure;John Huston;1948;126;12;7.00
26/08/2027 17:00;Sen to Chihiro no kamikakushi;Animation;Hayao Miyazaki;2001;125;0;7.00
26/08/2027 14:00;Close Encounters of the Third Kind;Drama;Steven Spielberg;1977;138;0;6.50
26/08/2027 10:30;Saving Private Ryan;Drama;Steven Spielberg;1998;169;16;7.50
25/08/2027 15:30;Le notti di Cabiria;Drama;Federico Fellini;1957;110;12;6.50
25/08/2027 13:00;Jeux d'enfants;Comedy;Yann Samuell;2003;93;16;7.50
25/08/2027 10:30;The Sixth Sense;Drama;M. Night Shyamalan;1999;107;12;8.00
24/08/2027 13:00;The Treasure of the Sierra Madre;Adventure;John Huston;1948;126;12;6.50
24/08/2027 10:30;Zelig;Comedy;Woody Allen;1983;79;6;7.50
23/08/2027 13:00;Gone with the Wind;Drama;Victor Fleming;1939;238;0;6.50
23/08/2027 10:00;Lat sau san taam;Action;John Woo;1992;128;16;6.50
22/08/2027 16:30;Sholay;Action;Ramesh Sippy;1975;204;0;8.00
22/08/2027 14:00;The Others;Horror;Alejandro Amenábar;2001;101;12;7.50
22/08/2027 10:00;Kal Ho Naa Ho;Comedy;Nikkhil Advani;2003;186;0;8.50
21/08/2027 16:00;"Swades: We; the People";Drama;Ashutosh Gowariker;2004;210;0;8.50
21/08/2027 13:00;All That Jazz;Drama;Bob Fosse;1979;123;12;6.50
21/08/2027 10:00;All That Jazz;Drama;Bob Fosse;1979;123;12;7.50
20/08/2027 10:00;Jeux d'enfants;Comedy;Yann Samuell;2003;93;16;6.50
19/08/2027 10:00;Amadeus;Biography;Milos Forman;1984;160;16;7.00
18/08/2027 10:00;Sholay;Action;Ramesh Sippy;1975;204;0;7.50
17/08/2027 15:30;Der Name der Rose;Crime;Jean-Jacques Annaud;1986;130;16;8.50
17/08/2027 13:00;Toki o kakeru shôjo;Animation;Mamoru Hosoda;2006;98;0;8.50
17/08/2027 10:00;The Treasure of the Sierra Madre;Adventure;John Huston;1948;126;12;8.50
